"Date","Share Code","Year High (GHS)","Year Low (GHS)","Previous Closing Price VWAP (GHS)","Opening Price (GHS)","Closing Price VWAP (GHS)","Price Change (GHS)","Closing Bid Price (GHS)","Closing Offer Price (GHS)","Total Shares Traded","Total Value Traded","Last Transaction Price (GHS)"
"2016-12-28","ACCESS","4.10","4.00","4.10","4.10","4.10","0.00","","","0","","4.10"
"2016-12-29","ACCESS","4.10","4.00","4.10","4.10","4.10","0.00","","","0","","4.10"
"2016-12-30","ACCESS","4.10","4.00","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-01-03","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-01-04","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-01-05","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-01-06","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-01-09","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-01-10","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-01-11","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-01-12","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-01-13","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-01-16","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-01-17","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-01-18","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-01-19","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-01-20","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-01-23","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-01-24","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-01-25","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-01-26","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-01-27","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-01-30","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-01-31","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-02-01","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-02-02","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-02-03","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-02-06","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-02-07","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-02-08","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-02-09","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-02-10","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-02-13","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-02-14","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","","","0","","4.10"
"2017-02-15","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-02-16","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-02-17","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
"2017-02-20","ACCESS","4.10","4.10","4.10","4.10","4.10","0.00","4.10","","0","","4.10"
