"Date","Share Code","Year High (GHS)","Year Low (GHS)","Previous Closing Price VWAP (GHS)","Opening Price (GHS)","Closing Price VWAP (GHS)","Price Change (GHS)","Closing Bid Price (GHS)","Closing Offer Price (GHS)","Total Shares Traded","Total Value Traded","Last Transaction Price (GHS)"
"2012-08-22","GLD","31.40","31.40","31.40","31.40","31.40","0.00","","","40","","31.40"
"2012-08-23","GLD","31.40","31.40","31.40","31.40","31.40","0.00","30.88","","0","","31.40"
"2012-08-24","GLD","31.40","31.40","31.40","31.40","31.40","0.00","31.40","","0","","31.40"
"2012-08-27","GLD","31.81","31.40","31.40","31.40","31.81","0.41","31.40","","8","","31.40"
"2012-08-28","GLD","31.81","31.40","31.81","31.81","31.81","0.00","31.40","","0","","31.81"
"2012-08-29","GLD","31.81","31.40","31.81","31.81","31.81","0.00","31.40","","0","","31.81"
"2012-08-30","GLD","31.81","31.40","31.81","31.81","31.81","0.00","31.40","","0","","31.81"
"2012-08-31","GLD","31.81","31.40","31.81","31.81","31.81","0.00","31.40","","0","","31.81"
"2012-09-03","GLD","32.28","31.40","31.81","31.81","32.28","0.47","32.27","32.35","890","","32.27"
"2012-09-04","GLD","32.28","31.40","32.28","32.28","32.28","0.00","32.28","","46","","32.28"
"2012-09-05","GLD","32.28","31.40","32.28","32.28","32.28","0.00","32.28","","0","","32.28"
"2012-09-06","GLD","32.45","31.40","32.28","32.28","32.45","0.17","32.43","32.7","450","","32.28"
"2012-09-07","GLD","32.45","31.40","32.45","32.45","32.20","-0.25","31.76","32.3","288","","32.30"
"2012-09-11","GLD","32.45","31.40","32.20","32.20","32.20","0.00","","","0","","32.20"
"2012-09-10","GLD","32.45","31.40","32.20","32.20","32.20","0.00","","","0","","32.20"
"2012-09-12","GLD","32.45","31.40","32.20","32.20","32.20","0.00","","","0","","32.20"
"2012-09-13","GLD","32.45","31.40","32.20","32.20","32.20","0.00","32.20","","0","","32.20"
"2012-09-14","GLD","32.45","31.40","32.20","32.20","32.20","0.00","","","0","","32.20"
"2012-09-17","GLD","32.45","31.40","32.20","32.20","32.20","0.00","","","0","","32.20"
"2012-09-18","GLD","32.45","31.40","32.20","32.20","32.83","0.63","32.20","","29","","32.82"
"2012-09-19","GLD","32.45","31.40","32.83","32.83","32.83","0.00","32.50","","0","","32.83"
"2012-09-20","GLD","32.45","31.40","32.83","32.83","32.83","0.00","32.50","","0","","32.83"
"2012-09-24","GLD","32.45","31.40","32.83","32.83","32.83","0.00","32.40","","0","","32.83"
"2012-09-25","GLD","32.45","31.40","32.83","32.83","32.83","0.00","32.60","33.44","0","","32.83"
"2012-09-26","GLD","32.45","31.4","32.83","32.83","32.83","0","32.55","","0","","32.83"
"2012-09-27","GLD","32.45","31.40","32.83","32.83","32.83","0.00","32.30","","0","","32.83"
"2012-09-28","GLD","33.25","31.40","32.83","32.83","33.25","0.42","32.84","33.30","378","","32.83"
"2012-10-01","GLD","33.25","31.40","33.25","33.25","33.25","0.00","32.84","33.30","0","","33.25"
"2012-10-02","GLD","33.25","31.40","33.25","33.25","33.25","0.00","33.25","","0","","33.25"
"2012-10-03","GLD","33.25","31.40","33.25","33.25","33.23","-0.02","33.25","","12","","33.23"
"2012-10-04","GLD","33.25","31.40","33.23","33.23","33.23","0.00","33.23","","6","","33.23"
"2012-10-05","GLD","33.25","31.40","33.23","33.23","33.23","0.00","33.23","","0","","33.23"
"2012-10-08","GLD","33.25","31.40","33.23","33.23","33.23","0.00","33.23","","0","","33.23"
"2012-10-09","GLD","33.25","31.40","33.23","33.23","33.02","-0.21","33.01","33.50","10","","33.02"
"2012-10-10","GLD","33.25","31.40","33.02","33.02","32.90","-0.12","33.01","33.50","2,845","","32.90"
"2012-10-11","GLD","33.25","31.40","32.90","32.90","32.90","0.00","32.90","33.50","0","","32.90"
"2012-10-12","GLD","33.25","31.40","32.90","32.90","32.90","0.00","33.00","33.50","0","","32.90"
"2012-10-15","GLD","33.25","31.40","32.90","32.90","32.90","0.00","","","0","","32.90"
"2012-10-16","GLD","33.25","31.40","32.90","32.90","32.90","0.00","","","0","","32.90"
"2012-10-17","GLD","33.25","31.40","32.90","32.90","32.90","0.00","","","0","","32.90"
"2012-10-18","GLD","33.25","31.40","32.90","32.90","32.90","0.00","","","0","","32.90"
"2012-10-19","GLD","33.25","31.40","32.90","32.90","32.90","0.00","","","0","","32.90"
"2012-10-22","GLD","33.25","31.40","32.90","32.90","32.90","0.00","32.90","","130","","32.90"
"2012-10-23","GLD","33.25","31.4","32.9","32.9","32.9","0","32.9","","0","","32.9"
"2012-10-24","GLD","33.25","31.40","32.90","32.90","32.90","0.00","32.90","","0","","32.90"
"2012-10-25","GLD","33.25","31.40","32.90","32.90","32.90","0.00","32.90","","0","","32.90"
"2012-10-29","GLD","33.25","31.40","32.90","32.90","32.90","0.00","32.90","","0","","32.90"
"2012-10-30","GLD","33.25","31.40","32.90","32.90","32.90","0.00","32.90","","0","","32.90"
"2012-10-31","GLD","33.25","31.40","32.90","32.90","32.90","0.00","32.90","","0","","32.90"
"2012-11-02","GLD","33.25","31.40","32.90","32.90","32.90","0.00","","","0","","32.90"
"2012-11-01","GLD","33.25","31.40","32.90","32.90","32.90","0.00","","","0","","32.90"
